perfume_name,brand,gender,accords,short_description,long_description,perfumer,top_notes,middle_notes,base_notes,rating,total_votes,img,logo
MajaÃ¯na Sin The Different Company ,The Different Company,for women and men,"vanilla,citrus,warm spicy,powdery,amber,sweet,balsamic,floral,white floral,cinnamon","MajaÃ¯na Sin  by  The Different Company  is a Oriental fragrance for women and men.  MajaÃ¯na Sin  was launched in 2017. The nose behind this fragrance is Emilie Bevierre-Coppermann. Top notes are Bitter Orange, Orange Blossom, Ginger, Neroli and Bergamot; middle notes are Chestnut, Cinnamon, Orchid and Heliotrope; base notes are Vanilla, Tonka Bean, Amber and Sandalwood. ","""I am aÂ  delightful tribute Â to the lands of Madagascar, a bewitching elixir, a sensual Eau de Parfum. I cannot hide the Bergamot and Neroli notes of which I am composed. Along those ingredients, otherÂ  riches Â from the fertile soil have inspired me: explosive Cinnamon and mouth watering Ginger. Smelling me will cause a strongÂ  dependency , a feeling of belongingâ€¦ You will love me for my generosity, myÂ  overdose Â of Vanilla, excessive and addictive under warm spices. Unpredictable andÂ  transgressive , you will succumb to my temptation."" - a note from the brand.",Emilie Bevierre-Coppermann,"Bitter Orange,Orange Blossom,Ginger,Neroli,Bergamot","Chestnut,Cinnamon,Orchid,Heliotrope","Vanilla,Tonka Bean,Amber,Sandalwood",4.03,772,https://fimgs.net/mdimg/perfume/375x500.46800.jpg,https://fimgs.net/mdimg/dizajneri/m.472.jpg
White Musk The Body Shop ,The Body Shop,for women,"musky,powdery,white floral,iris,earthy,woody,animalic,sweet","White Musk  by  The Body Shop  is a Floral Woody Musk fragrance for women.  White Musk  was launched in 1981. Top notes are Musk, Lily, Ylang-Ylang, Galbanum and Basil; middle notes are Musk, Lily, Jasmine and Rose; base notes are Musk, Iris, Jasmine, Oakmoss, Amber, Vanilla, Rose, Vetiver, Patchouli and Peach. ","White Musk is a comfortable and velvety female fragrance, dedicated to every woman and perfect for every moment and occasion. It opens with notes of ylang-ylang, galbanum and basil, followed by the heart of jasmine, rose, musk and lily,and settling at the base dominated by musk along with jasmine, rose, iris, amber, patchouli, vetiver, peach, oakmoss and vanilla. Besides an intensive 30 ml eau de perfume, White Musk is available as 15 and 30 ml White Musk Perfume Oil and 30 and 60 ml eau de toilette.",,"Musk,Lily,Ylang-Ylang,Galbanum,Basil","Musk,Lily,Jasmine,Rose","Musk,Iris,Jasmine,Oakmoss,Amber,Vanilla,Rose,Vetiver,Patchouli,Peach",4,"3,539",https://fimgs.net/mdimg/perfume/375x500.2432.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
Japanese Musk Perfume Oil The Body Shop ,The Body Shop,for women,"white floral,fresh,musky,aldehydic,powdery,woody,soapy,green",Japanese Musk Perfume Oil  by  The Body Shop  is a Floral Aldehyde fragrance for women. ,,,"Musk,Aldehydes,Lily-of-the-Valley,Jasmine,Cedar",,,4.43,131,https://fimgs.net/mdimg/perfume/375x500.3054.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
Lychee Blossom The Body Shop ,The Body Shop,for women,"tropical,fruity,floral,fresh","Lychee Blossom  by  The Body Shop  is a Floral Fruity fragrance for women.  Lychee Blossom  was launched in 2010. Top notes are Litchi, Mangosteen and Guava; middle notes are Magnolia and Freesia; base notes are Musk and Sandalwood. ","Lychee Blossom is a limited edition for 2010. Energetic and refreshing, this fragrance is composed of litchi, guava, mangosteen, magnolia, litchi blossom, freesia, sandalwood and white musk. Available as 30 ml EDT and 100 ml boy mist.",,"Litchi,Mangosteen,Guava","Magnolia,Freesia","Musk,Sandalwood",3.89,136,https://fimgs.net/mdimg/perfume/375x500.12266.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
Dewberry Perfume Oil The Body Shop ,The Body Shop,for women,"fruity,floral,woody,citrus,sweet,white floral,powdery","Dewberry Perfume Oil  by  The Body Shop  is a Floral Fruity fragrance for women. Top notes are Black Currant, Grapefruit, Red Apple and Pear; middle notes are Freesia, Jasmine, Lily-of-the-Valley and Rose; base notes are Peach, Apricot, Cedar and Musk. ",,,"Black Currant,Grapefruit,Red Apple,Pear","Freesia,Jasmine,Lily-of-the-Valley,Rose","Peach,Apricot,Cedar,Musk",4.15,239,https://fimgs.net/mdimg/perfume/375x500.3625.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
Mango The Body Shop ,The Body Shop,for women and men,"tropical,fruity,sweet,terpenic",Mango  by  The Body Shop  is a Citrus fragrance for women and men.  Mango  was launched in 2012. ,,,Mango,,,3.95,504,https://fimgs.net/mdimg/perfume/375x500.17145.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
Moringa The Body Shop ,The Body Shop,for women and men,,Moringa  by  The Body Shop  is a Floral fragrance for women and men.  Moringa  was launched in 2012. ,,,,,,4.06,990,https://fimgs.net/mdimg/perfume/375x500.17144.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
Volume 2: Precision and Grace The Beautiful Mind Series ,The Beautiful Mind Series,for women and men,"fruity,floral,sweet,musky,soft spicy,white floral,powdery,fresh","Volume 2: Precision and Grace  by  The Beautiful Mind Series  is a Floral Fruity fragrance for women and men.  Volume 2: Precision and Grace  was launched in 2015. Top notes are Pear, Lemon, Mandarin Orange and Bergamot; middle notes are Osmanthus, Plum, Freesia, Egyptian Jasmine, Pink Pepper, Violet, Mimosa and Rose; base notes are Musk, Sandalwood, Moss, Amber, Castoreum and Myrrh. ","""Dance is poetry made visible, fragrance is a dance of molecules invisible. 
 Internationally-fÃªted ballet dancer, Polina Semionova, is Schoenâ€™s creative partner for the new fragrance in the series, Precision & Grace. 
 â€œI was fascinated by what goes on in the mind of a great dancer while sheâ€™s dancing,â€ says Schoen, â€˜in the precision she must have to express the grace.â€ 
 â€œWithout intelligent work, there is no result,â€ explains Semionova. â€œeven if you have a great gift. The precision only comes with hours of work in the studio. Then, when I go on stage, I donâ€™t think anymore. I release myself to the music. I fly.â€ 
 The fragrance is balanced between uplifting fruity notes and powdery florals. â€œI wanted to have pear and plum because they remind me of summer in the Russian countryside of my childhood,â€ says Semionova. â€œWhen I smell pear and plum it makes me smile.â€ 
 The top note of Williams pear springs out of the bottle with its crisp, juicy greenness. The heart of the fragrance is an unusual fruity-floral accord of Egyptian jasmine (the fruitiest of the jasmines) with plum. Harmonising with this key accord are airy florals such as mimosa, freesia and osmanthus (a white blossom with an apricot note). 
 â€œFor me Precision & Grace connotes lightness, the gossamar layers of the classical ballerinaâ€™s costume,â€ says Schoen, â€œand then the warmth of the body as she dances.â€ 
 The drydown is warm and velvety, based on woods and musks. â€œIâ€™ve used real sandalwood because itâ€™s more complex and animalic than the synthetic versions, better able to express the heat of the body in motion.â€ 
 Schoenâ€™s signature of schinus molle, or pink pepper, also features. 
 â€œWhen you first smell Precision & Grace itâ€™s like a breeze, so light and feminine,â€ says Semionova. â€œBut then there is this unusual note that I love, the pepper. This adds something deeper that gives a core of strength to the fragrance. Itâ€™s like the ballet itself: without the hidden strength, you canâ€™t make it light.â€ 
 The packaging is an impression of the meditative state of a dancerâ€™s brain while she is performing. 
 â€œThe dots and triangles are a series of placements, they represent the precise steps she must take,â€ explains Paul White of Me Company. The colour flows reflect a different way of mapping balletic gesture. â€œDance is precise, but itâ€™s also semi-airborne. The pulses of colour reflect the flux of the dance, almost like motion capture trails. They represent the dancerâ€™s freedom, her joy."" - a note from the brand.",,"Pear,Lemon,Mandarin Orange,Bergamot","Osmanthus,Plum,Freesia,Egyptian Jasmine,Pink Pepper,Violet,Mimosa,Rose","Musk,Sandalwood,Moss,Amber,Castoreum,Myrrh",3.61,520,https://fimgs.net/mdimg/perfume/375x500.30811.jpg,https://fimgs.net/mdimg/dizajneri/m.885.jpg
Black Musk The Body Shop ,The Body Shop,for women,"vanilla,sweet,powdery,musky,soft spicy,chocolate,warm spicy,woody,fruity,balsamic","Black Musk  by  The Body Shop  is a Woody Floral Musk fragrance for women.  Black Musk  was launched in 2015. Black Musk was created by Cecile Matton and Ralf Schwieger. Top notes are Pear, Pink Pepper and Bergamot; middle notes are Licorice, Heliotrope and Ylang-Ylang; base notes are Black Vanilla Husk, Chocolate, Black Musk, Patchouli and Vetiver. ","In October 2015, The Body Shop is launching its new fragrance Black Musk, following the lines of White Musk from1981 and Red Musk from 2014. Black Musk is announced as the darkest and the most sensual of all the scents. It represents a contrast between light, sweet flavors and dark musk with oriental woods. The creation is signed by Cecile Matton and Ralf Schwieger.
 
 
 The opening of the composition symbolizes desire with notes of sweet pear infused with pink pepper and bergamot. Intense aroma of heliotrope, which varies between marzipan and almond, is interspersed with ylang-ylang and aphrodisiac notes of licorice. Hot black vanilla, musk black, earthy patchouli, vetiver and chocolate end the composition. 
 
Black Musk is available as 60 ml Eau de Toilette, 50 ml Eau de Parfum and 20 ml Perfume Oil.","Cecile Matton,Ralf Schwieger","Pear,Pink Pepper,Bergamot","Licorice,Heliotrope,Ylang-Ylang","Black Vanilla Husk,Chocolate,Black Musk,Patchouli,Vetiver",4.08,"1,084",https://fimgs.net/mdimg/perfume/375x500.32247.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
The Hope Thameen ,Thameen,for women and men,"warm spicy,amber,cinnamon,woody,oud,sweet,balsamic","The Hope  by  Thameen  is a Oriental Woody fragrance for women and men.  The Hope  was launched in 2015. Top notes are Cinnamon, Cloves and Myrrh; middle notes are Agarwood (Oud), Cedar and Immortelle; base notes are Black Amber, Labdanum, Vetiver and Musk. ","â€œDescribed as the size of a pigeonâ€™s egg, it is a distinctive grey blue in hue, and also emanates a rare red phosphorescent glow. The gem has been worn by sultans, queens, aristocracy and socialites; most notably Queen Marie Antoinette who wore it as a hairpin, and its last private owner, the flamboyant heiress Evalyn Walsh Mclean. It was the inspiration for the â€˜Heart of The Oceanâ€™ in the film Titanic and provides the inspiration for the iridescent fragrance. Opening with the warm radiance of cinnamon bark, myrrh and cloves conjure the diamondâ€™s legendary fiery red glow. A woody shimmer of cedar and oud wood is at the heart, layered with the multi-faceted, honeyed brilliance of the immortelle flower. A base of black amber, labdanum resin (from the Mediterranean rock rose), musk and vetiver, exude pure glamour and sophistication. Decadentâ€ â€” press release of the brand.",,"Cinnamon,Cloves,Myrrh","Agarwood (Oud),Cedar,Immortelle","Black Amber,Labdanum,Vetiver,Musk",4.07,150,https://fimgs.net/mdimg/perfume/375x500.31788.jpg,https://fimgs.net/mdimg/dizajneri/m.1703.jpg
Sparkling Opal Thameen ,Thameen,for women,"woody,warm spicy,powdery,vanilla,leather,fresh spicy,iris,oud,balsamic,aromatic","Sparkling Opal  by  Thameen  is a fragrance for women.  Sparkling Opal  was launched in 2020. Top notes are Saffron, Nutmeg and Pepper; middle notes are Orris Root, Agarwood (Oud), Rose, Cinnamon, Jasmine, Labdanum and Cedar; base notes are Vanilla, Amyris, Sandalwood, Leather, Guaiac Wood, Musk and Cedar. ","""Taking its name from the precious stone, Sparkling Opal perfume extract from Thameen delivers an olfactory experience of opulence. Saffron and nutmeg bring spice, while jasmine and orris infuse the delicate touch of florals and woody notes of sandalwood and amaryris complete the scent with the earthy fragrance of forests."" - a note from the brand.",,"Saffron,Nutmeg,Pepper","Orris Root,Agarwood (Oud),Rose,Cinnamon,Jasmine,Labdanum,Cedar","Vanilla,Amyris,Sandalwood,Leather,Guaiac Wood,Musk,Cedar",4.49,45,https://fimgs.net/mdimg/perfume/375x500.60434.jpg,https://fimgs.net/mdimg/dizajneri/m.1703.jpg
The Cora Thameen ,Thameen,for women and men,"floral,white floral,warm spicy,amber,fresh,rose,patchouli","The Cora  by  Thameen  is a Oriental Floral fragrance for women and men.  The Cora  was launched in 2017. Top notes are Wisteria, Bulgarian Rose, Jasmine and Magnolia; middle notes are Benzoin, Carnation, Lily-of-the-Valley and Vanilla; base notes are Patchouli, White Musk and Amber. ","""Inspired by the rare gemstone, â€˜The Coraâ€™ is a bright, golden, multi-faceted spectrum of rare and beautiful ingredients as mesmerising and timeless as its namesake."" - a note from the brand.",,"Wisteria,Bulgarian Rose,Jasmine,Magnolia","Benzoin,Carnation,Lily-of-the-Valley,Vanilla","Patchouli,White Musk,Amber",3.98,138,https://fimgs.net/mdimg/perfume/375x500.47282.jpg,https://fimgs.net/mdimg/dizajneri/m.1703.jpg
Royal Sapphire Thameen ,Thameen,for women and men,"citrus,white floral,amber,woody,sweet,animalic","Royal Sapphire  by  Thameen  is a fragrance for women and men.  Royal Sapphire  was launched in 2019. Top notes are Mandarin Orange and Bergamot; middle notes are Orange Blossom and Jasmine; base notes are Amber, Patchouli, Woody Notes and Oakmoss. ",,,"Mandarin Orange,Bergamot","Orange Blossom,Jasmine","Amber,Patchouli,Woody Notes,Oakmoss",4.15,281,https://fimgs.net/mdimg/perfume/375x500.55049.jpg,https://fimgs.net/mdimg/dizajneri/m.1703.jpg
Regent Leather Thameen ,Thameen,for women and men,"woody,warm spicy,musky,vanilla,animalic,powdery,amber,patchouli,aromatic,balsamic","Regent Leather  by  Thameen  is a Oriental fragrance for women and men.  Regent Leather  was launched in 2016. Top note is Lemon; middle notes are Saffron, Cardamom, Jasmine and Rose; base notes are Vanilla, Animal notes, Gurjan balsam, Labdanum, Cedar, Patchouli and Musk. ","â€œTraditionally, Thameen selects a rare gemstone as the inspiration for each of its fragrances and it is only fitting that, for this project, they have chosen what is considered to be the finest diamond in the world â€“ The Regent Diamond. Over 300 years old, the Regent Diamond is 141 carats, cushion-cut and its colour is â€˜of the first waterâ€™ that is, perfectly white and virtually flawless. 
 The fragrance exudes luxury and privilege, opening with the daring juxtaposition of smooth vanilla and sharp lemon. At the heart, the perfumer has cleverly conjured a remarkable leather scent reminiscent of the interior of the Rolls Royce, a cocoon of craftsmanship that envelopes the wearer. The tone speaks of power and strong will, supported by spices and resins including a fine saffron and deep resinous labdanum. The base is glossy, a perfumed patina of elegant and timeless gurjum, cedar and patchouli. Regent Leather is hypnotic and has, in the manner of Rolls Royce, been â€˜engineeredâ€™ â€“ enabling the finest ingredients to revolve throughout the dry-down, thus the journey is both surprising and familiar by degreeâ€ â€” press release of the brand.",,Lemon,"Saffron,Cardamom,Jasmine,Rose","Vanilla,Animal notes,Gurjan balsam,Labdanum,Cedar,Patchouli,Musk",4.27,295,https://fimgs.net/mdimg/perfume/375x500.43204.jpg,https://fimgs.net/mdimg/dizajneri/m.1703.jpg
Sceptre Thameen ,Thameen,for women and men,"amber,warm spicy,sweet,balsamic","Sceptre  by  Thameen  is a fragrance for women and men.  Sceptre  was launched in 2018. Top notes are Pink Pepper, Madagascar Cloves and Coriander; middle notes are Peach, Ylang-Ylang, Wisteria and Patchouli; base notes are Myrrh, Amber, Ambergris and Siam Benzoin. ","""The Sovereignâ€™s Sceptre is a unique creation of precious jewels set in gold, symbolising royal authority and chivalry. Myrrh is the signature note of this fragrance, a divine ingredient at the heart of royal ceremony across the ages. Blended with warming amber, this exquisite scent truly reflects the splendour of the Sceptre."" - a note from the brand.",,"Pink Pepper,Madagascar Cloves,Coriander","Peach,Ylang-Ylang,Wisteria,Patchouli","Myrrh,Amber,Ambergris,Siam Benzoin",3.97,125,https://fimgs.net/mdimg/perfume/375x500.55046.jpg,https://fimgs.net/mdimg/dizajneri/m.1703.jpg
